"Station","Period","Date","SpeciesCode","Replicates","DensityMean","DensitySE"
1,6,"05/01/83",0085,5,0.010,0.0100
1,6,"05/01/83",0089,5,0.470,0.1356
1,6,"05/01/83",0092,5,0.060,0.0485
1,6,"05/01/83",0152,5,0.000,0.0000
1,6,"05/01/83",0553,5,4.400,1.4102
1,6,"05/01/83",0556,5,1.180,0.3326
1,6,"05/01/83",0557,5,0.040,0.0292
1,6,"05/01/83",0558,5,1.090,0.3152
1,6,"05/01/83",0574,5,0.130,0.0406
1,6,"05/01/83",0575,5,0.270,0.0815
1,6,"05/01/83",0589,5,0.100,0.0447
1,7,"09/15/83",0024,5,0.020,0.0200
1,7,"09/15/83",0029,5,0.290,0.2064
1,7,"09/15/83",0030,5,2.610,0.7822
1,7,"09/15/83",0066,5,0.370,0.1420
1,7,"09/15/83",0067,5,0.000,0.0000
1,7,"09/15/83",0075,5,0.000,0.0000
1,7,"09/15/83",0081,5,0.000,0.0000
1,7,"09/15/83",0082,5,0.000,0.0000
1,7,"09/15/83",0085,5,0.020,0.0122
1,7,"09/15/83",0089,5,0.300,0.1255
1,7,"09/15/83",0092,5,0.000,0.0000
1,7,"09/15/83",0152,5,0.000,0.0000
1,7,"09/15/83",0553,5,4.440,1.4052
1,7,"09/15/83",0556,5,1.180,0.2681
1,7,"09/15/83",0557,5,2.490,0.6007
1,7,"09/15/83",0558,5,0.190,0.1054
1,7,"09/15/83",0574,5,0.080,0.0436
1,7,"09/15/83",0575,5,0.470,0.2166
1,7,"09/15/83",0589,5,1.520,0.3693
1,8,"02/19/84",0024,3,0.017,0.0167
1,8,"02/19/84",0029,3,0.350,0.2517
1,8,"02/19/84",0030,3,4.067,1.3205
1,8,"02/19/84",0066,3,0.400,0.0764
1,8,"02/19/84",0067,3,0.000,0.0000
1,8,"02/19/84",0075,3,0.000,0.0000
1,8,"02/19/84",0081,3,0.000,0.0000
1,8,"02/19/84",0082,3,0.000,0.0000
1,8,"02/19/84",0085,3,0.033,0.0333
1,8,"02/19/84",0089,3,0.517,0.1740
1,8,"02/19/84",0092,3,0.017,0.0167
1,8,"02/19/84",0152,3,0.000,0.0000
1,8,"02/19/84",0553,3,3.350,0.7000
1,8,"02/19/84",0556,3,0.683,0.1641
1,8,"02/19/84",0557,3,0.000,0.0000
1,8,"02/19/84",0558,3,0.000,0.0000
1,8,"02/19/84",0574,3,0.083,0.0167
1,8,"02/19/84",0575,3,0.117,0.0601
1,8,"02/19/84",0589,3,1.550,0.1323
1,9,"10/03/84",0024,5,0.000,0.0000
1,9,"10/03/84",0029,5,0.260,0.2244
1,9,"10/03/84",0030,5,1.970,0.8542
1,9,"10/03/84",0066,5,0.810,0.1017
1,9,"10/03/84",0067,5,0.000,0.0000
1,9,"10/03/84",0075,5,0.000,0.0000
1,9,"10/03/84",0081,5,0.000,0.0000
1,9,"10/03/84",0082,5,0.000,0.0000
1,9,"10/03/84",0085,5,0.000,0.0000
1,9,"10/03/84",0089,5,0.180,0.0515
1,9,"10/03/84",0092,5,0.000,0.0000
1,9,"10/03/84",0152,5,0.000,0.0000
1,9,"10/03/84",0553,5,3.630,0.9020
1,9,"10/03/84",0556,5,0.920,0.2089
1,9,"10/03/84",0557,5,0.040,0.0187
1,9,"10/03/84",0558,5,0.010,0.0100
1,9,"10/03/84",0574,5,0.090,0.0187
1,9,"10/03/84",0575,5,0.170,0.0490
1,9,"10/03/84",0589,5,0.470,0.1125
1,10,"04/24/85",0024,5,0.000,0.0000
1,10,"04/24/85",0029,5,0.260,0.1785
1,10,"04/24/85",0030,5,7.550,2.1512
1,10,"04/24/85",0066,5,0.720,0.0561
1,10,"04/24/85",0067,5,0.000,0.0000
1,10,"04/24/85",0075,5,0.000,0.0000
1,10,"04/24/85",0081,5,0.000,0.0000
1,10,"04/24/85",0082,5,0.000,0.0000
1,10,"04/24/85",0085,5,0.010,0.0100
1,10,"04/24/85",0089,5,0.390,0.0967
1,10,"04/24/85",0092,5,0.030,0.0200
1,10,"04/24/85",0152,5,0.000,0.0000
1,10,"04/24/85",0553,5,3.550,1.3692
1,10,"04/24/85",0556,5,0.820,0.2251
1,10,"04/24/85",0557,5,0.040,0.0292
1,10,"04/24/85",0558,5,0.210,0.1391
1,10,"04/24/85",0574,5,0.090,0.0292
1,10,"04/24/85",0575,5,0.090,0.0458
1,10,"04/24/85",0589,5,0.270,0.0875
1,11,"09/05/85",0024,5,0.000,0.0000
1,11,"09/05/85",0029,5,0.340,0.3031
1,11,"09/05/85",0030,5,7.790,1.9028
1,11,"09/05/85",0066,5,1.190,0.1512
1,11,"09/05/85",0067,5,0.000,0.0000
1,11,"09/05/85",0075,5,0.000,0.0000
1,11,"09/05/85",0081,5,0.000,0.0000
1,11,"09/05/85",0082,5,0.000,0.0000
1,11,"09/05/85",0085,5,0.030,0.0200
1,11,"09/05/85",0089,5,0.740,0.3655
1,11,"09/05/85",0092,5,0.000,0.0000
1,11,"09/05/85",0152,5,0.000,0.0000
1,11,"09/05/85",0553,5,3.140,1.2464
1,11,"09/05/85",0556,5,0.920,0.3219
1,11,"09/05/85",0557,5,0.000,0.0000
1,11,"09/05/85",0558,5,0.240,0.1592
1,11,"09/05/85",0574,5,0.080,0.0255
1,11,"09/05/85",0575,5,0.080,0.0374
1,11,"09/05/85",0589,5,0.190,0.0430
1,12,"04/18/86",0024,5,0.010,0.0100
1,12,"04/18/86",0029,5,0.270,0.1985
1,12,"04/18/86",0030,5,9.380,2.8116
1,12,"04/18/86",0066,5,1.270,0.2884
1,12,"04/18/86",0067,5,0.000,0.0000
1,12,"04/18/86",0075,5,0.000,0.0000
1,12,"04/18/86",0081,5,0.000,0.0000
1,12,"04/18/86",0082,5,0.000,0.0000
1,12,"04/18/86",0085,5,0.020,0.0122
1,12,"04/18/86",0089,5,0.540,0.1219
1,12,"04/18/86",0092,5,0.010,0.0100
1,12,"04/18/86",0152,5,0.000,0.0000
1,12,"04/18/86",0553,5,3.160,0.9849
1,12,"04/18/86",0556,5,0.890,0.3367
1,12,"04/18/86",0557,5,0.100,0.0474
1,12,"04/18/86",0558,5,3.000,0.9051
1,12,"04/18/86",0574,5,0.070,0.0255
1,12,"04/18/86",0575,5,0.080,0.0374
1,12,"04/18/86",0589,5,0.000,0.0000
1,13,"10/05/86",0024,5,0.000,0.0000
1,13,"10/05/86",0029,5,0.300,0.1823
1,13,"10/05/86",0030,5,8.250,2.5405
1,13,"10/05/86",0066,5,1.450,0.5032
1,13,"10/05/86",0067,5,0.000,0.0000
1,13,"10/05/86",0075,5,0.000,0.0000
1,13,"10/05/86",0081,5,0.000,0.0000
1,13,"10/05/86",0082,5,0.000,0.0000
1,13,"10/05/86",0085,5,0.000,0.0000
1,13,"10/05/86",0089,5,0.230,0.1554
1,13,"10/05/86",0092,5,0.010,0.0100
1,13,"10/05/86",0152,5,0.000,0.0000
1,13,"10/05/86",0553,5,2.340,0.6333
1,13,"10/05/86",0556,5,2.130,0.2284
1,13,"10/05/86",0557,5,0.160,0.0534
1,13,"10/05/86",0558,5,0.320,0.1261
1,13,"10/05/86",0574,5,0.070,0.0200
1,13,"10/05/86",0575,5,0.690,0.3148
1,13,"10/05/86",0589,5,0.930,0.2380
1,14,"04/24/87",0024,5,0.000,0.0000
1,14,"04/24/87",0029,5,0.170,0.1056
1,14,"04/24/87",0030,5,9.310,1.8955
1,14,"04/24/87",0066,5,1.700,0.4419
1,14,"04/24/87",0067,5,0.000,0.0000
1,14,"04/24/87",0075,5,0.000,0.0000
1,14,"04/24/87",0081,5,0.000,0.0000
1,14,"04/24/87",0082,5,0.000,0.0000
1,14,"04/24/87",0085,5,0.000,0.0000
1,14,"04/24/87",0089,5,0.280,0.0464
1,14,"04/24/87",0092,5,0.010,0.0100
1,14,"04/24/87",0152,5,0.000,0.0000
1,14,"04/24/87",0553,5,1.870,0.3371
1,14,"04/24/87",0556,5,1.800,0.2490
1,14,"04/24/87",0557,5,0.040,0.0245
1,14,"04/24/87",0558,5,0.280,0.2083
1,14,"04/24/87",0574,5,0.030,0.0200
1,14,"04/24/87",0575,5,0.730,0.3621
1,14,"04/24/87",0589,5,0.540,0.1893
1,15,"10/07/87",0024,5,0.000,0.0000
1,15,"10/07/87",0029,5,0.130,0.1300
1,15,"10/07/87",0030,5,10.780,1.9310
1,15,"10/07/87",0066,5,2.380,0.5267
1,15,"10/07/87",0067,5,0.000,0.0000
1,15,"10/07/87",0075,5,0.000,0.0000
1,15,"10/07/87",0081,5,0.000,0.0000
1,15,"10/07/87",0082,5,0.000,0.0000
1,15,"10/07/87",0085,5,0.020,0.0200
1,15,"10/07/87",0089,5,0.350,0.0949
1,15,"10/07/87",0092,5,0.010,0.0100
1,15,"10/07/87",0152,5,0.000,0.0000
1,15,"10/07/87",0553,5,3.260,1.4156
1,15,"10/07/87",0556,5,1.630,0.2977
1,15,"10/07/87",0557,5,0.060,0.0292
1,15,"10/07/87",0558,5,0.280,0.0768
1,15,"10/07/87",0574,5,0.070,0.0255
1,15,"10/07/87",0575,5,0.680,0.3790
1,15,"10/07/87",0589,5,0.490,0.1279
1,16,"04/26/88",0024,5,0.010,0.0100
1,16,"04/26/88",0029,5,0.220,0.1602
1,16,"04/26/88",0030,5,18.410,4.0059
1,16,"04/26/88",0066,5,2.010,0.3404
1,16,"04/26/88",0067,5,0.000,0.0000
1,16,"04/26/88",0075,5,0.000,0.0000
1,16,"04/26/88",0081,5,0.000,0.0000
1,16,"04/26/88",0082,5,0.000,0.0000
1,16,"04/26/88",0085,5,0.000,0.0000
1,16,"04/26/88",0089,5,0.360,0.0731
1,16,"04/26/88",0092,5,0.020,0.0200
1,16,"04/26/88",0152,5,0.000,0.0000
1,16,"04/26/88",0553,5,3.450,1.0118
1,16,"04/26/88",0556,5,0.920,0.1678
1,16,"04/26/88",0557,5,0.100,0.0354
1,16,"04/26/88",0558,5,1.620,0.9238
1,16,"04/26/88",0574,5,0.160,0.0797
1,16,"04/26/88",0575,5,0.600,0.2302
1,16,"04/26/88",0589,5,0.120,0.0539
1,17,"10/09/88",0024,5,0.000,0.0000
1,17,"10/09/88",0029,5,0.340,0.3276
1,17,"10/09/88",0030,5,13.140,2.6541
1,17,"10/09/88",0066,5,2.710,0.5031
1,17,"10/09/88",0067,5,0.000,0.0000
1,17,"10/09/88",0075,5,0.000,0.0000
1,17,"10/09/88",0081,5,0.000,0.0000
1,17,"10/09/88",0082,5,0.000,0.0000
1,17,"10/09/88",0085,5,0.000,0.0000
1,17,"10/09/88",0089,5,0.230,0.0644
1,17,"10/09/88",0092,5,0.070,0.0374
1,17,"10/09/88",0152,5,0.000,0.0000
1,17,"10/09/88",0553,5,1.150,0.2302
1,17,"10/09/88",0556,5,2.460,0.3916
1,17,"10/09/88",0557,5,0.190,0.0187
1,17,"10/09/88",0558,5,0.180,0.0815
1,17,"10/09/88",0574,5,0.080,0.0200
1,17,"10/09/88",0575,5,0.750,0.2080
1,17,"10/09/88",0589,5,0.260,0.0857
1,18,"04/18/89",0024,5,0.020,0.0122
1,18,"04/18/89",0029,5,0.110,0.1100
1,18,"04/18/89",0030,5,22.740,2.7586
1,18,"04/18/89",0066,5,2.590,0.6651
1,18,"04/18/89",0067,5,0.000,0.0000
1,18,"04/18/89",0075,5,0.000,0.0000
1,18,"04/18/89",0081,5,0.000,0.0000
1,18,"04/18/89",0082,5,0.000,0.0000
1,18,"04/18/89",0085,5,0.020,0.0200
1,18,"04/18/89",0089,5,0.500,0.0851
1,18,"04/18/89",0092,5,0.030,0.0200
1,18,"04/18/89",0152,5,0.000,0.0000
1,18,"04/18/89",0553,5,1.780,0.2538
1,18,"04/18/89",0556,5,2.220,0.5720
1,18,"04/18/89",0557,5,0.080,0.0436
1,18,"04/18/89",0558,5,0.720,0.1779
1,18,"04/18/89",0574,5,0.080,0.0339
1,18,"04/18/89",0575,5,1.240,0.1996
1,18,"04/18/89",0589,5,0.230,0.0875
1,19,"11/10/89",0024,5,0.000,0.0000
1,19,"11/10/89",0029,5,0.460,0.3498
1,19,"11/10/89",0030,5,28.390,4.7715
1,19,"11/10/89",0066,5,1.750,0.4530
1,19,"11/10/89",0067,5,0.000,0.0000
1,19,"11/10/89",0075,5,0.000,0.0000
1,19,"11/10/89",0081,5,0.010,0.0100
1,19,"11/10/89",0082,5,0.000,0.0000
1,19,"11/10/89",0085,5,0.050,0.0387
1,19,"11/10/89",0089,5,0.310,0.1166
1,19,"11/10/89",0092,5,0.080,0.0339
1,19,"11/10/89",0152,5,0.000,0.0000
1,19,"11/10/89",0553,5,3.890,0.3509
1,19,"11/10/89",0556,5,2.150,0.3482
1,19,"11/10/89",0557,5,0.230,0.0943
1,19,"11/10/89",0558,5,0.250,0.0742
1,19,"11/10/89",0574,5,0.200,0.0548
1,19,"11/10/89",0575,5,1.360,0.3152
1,19,"11/10/89",0589,5,0.180,0.0515
1,21,"10/20/90",0024,5,0.000,0.0000
1,21,"10/20/90",0029,5,0.800,0.1981
1,21,"10/20/90",0030,5,33.580,4.5384
1,21,"10/20/90",0066,5,1.640,0.4532
1,21,"10/20/90",0067,5,0.000,0.0000
1,21,"10/20/90",0075,5,0.000,0.0000
1,21,"10/20/90",0081,5,0.000,0.0000
1,21,"10/20/90",0082,5,0.000,0.0000
1,21,"10/20/90",0085,5,0.010,0.0100
1,21,"10/20/90",0089,5,0.220,0.0718
1,21,"10/20/90",0092,5,0.120,0.0604
1,21,"10/20/90",0152,5,0.000,0.0000
1,21,"10/20/90",0553,5,1.990,0.5776
1,21,"10/20/90",0556,5,0.660,0.2718
1,21,"10/20/90",0557,5,0.010,0.0100
1,21,"10/20/90",0558,5,0.200,0.1255
1,21,"10/20/90",0574,5,0.010,0.0100
1,21,"10/20/90",0575,5,0.720,0.2875
1,21,"10/20/90",0589,5,0.000,0.0000
1,22,"04/18/91",0024,5,0.010,0.0100
1,22,"04/18/91",0029,5,0.580,0.0982
1,22,"04/18/91",0030,5,55.030,4.9176
1,22,"04/18/91",0066,5,1.080,0.3926
1,22,"04/18/91",0067,5,0.000,0.0000
1,22,"04/18/91",0075,5,0.020,0.0200
1,22,"04/18/91",0081,5,0.000,0.0000
1,22,"04/18/91",0082,5,0.000,0.0000
1,22,"04/18/91",0085,5,0.010,0.0100
1,22,"04/18/91",0089,5,0.810,0.1279
1,22,"04/18/91",0092,5,0.090,0.0245
1,22,"04/18/91",0152,5,0.000,0.0000
1,22,"04/18/91",0553,5,0.290,0.2900
1,22,"04/18/91",0556,5,0.230,0.2300
1,22,"04/18/91",0557,5,0.000,0.0000
1,22,"04/18/91",0558,5,0.050,0.0500
1,22,"04/18/91",0574,5,0.010,0.0100
1,22,"04/18/91",0575,5,0.350,0.3256
1,22,"04/18/91",0589,5,0.000,0.0000
1,23,"10/08/91",0024,5,0.010,0.0100
1,23,"10/08/91",0029,5,0.460,0.1317
1,23,"10/08/91",0030,5,35.890,10.3178
1,23,"10/08/91",0066,5,0.690,0.1933
1,23,"10/08/91",0067,5,0.000,0.0000
1,23,"10/08/91",0075,5,0.000,0.0000
1,23,"10/08/91",0081,5,0.000,0.0000
1,23,"10/08/91",0082,5,0.000,0.0000
1,23,"10/08/91",0085,5,0.000,0.0000
1,23,"10/08/91",0089,5,0.310,0.0914
1,23,"10/08/91",0092,5,0.170,0.0406
1,23,"10/08/91",0152,5,0.000,0.0000
1,23,"10/08/91",0553,5,0.160,0.1600
1,23,"10/08/91",0556,5,0.140,0.1400
1,23,"10/08/91",0557,5,0.000,0.0000
1,23,"10/08/91",0558,5,0.050,0.0500
1,23,"10/08/91",0574,5,0.000,0.0000
1,23,"10/08/91",0575,5,0.270,0.2700
1,23,"10/08/91",0589,5,0.000,0.0000
1,24,"04/09/92",0024,5,0.000,0.0000
1,24,"04/09/92",0029,5,0.330,0.1200
1,24,"04/09/92",0030,5,47.950,3.8070
1,24,"04/09/92",0066,5,0.870,0.0943
1,24,"04/09/92",0067,5,0.000,0.0000
1,24,"04/09/92",0075,5,0.000,0.0000
1,24,"04/09/92",0081,5,0.000,0.0000
1,24,"04/09/92",0082,5,0.000,0.0000
1,24,"04/09/92",0085,5,0.010,0.0100
1,24,"04/09/92",0089,5,1.110,0.1819
1,24,"04/09/92",0092,5,0.190,0.0292
1,24,"04/09/92",0152,5,0.000,0.0000
1,24,"04/09/92",0553,5,0.110,0.1100
1,24,"04/09/92",0556,5,0.130,0.1300
1,24,"04/09/92",0557,5,0.000,0.0000
1,24,"04/09/92",0558,5,0.000,0.0000
1,24,"04/09/92",0574,5,0.000,0.0000
1,24,"04/09/92",0575,5,0.160,0.1600
1,24,"04/09/92",0589,5,0.000,0.0000
1,25,"10/06/92",0024,5,0.000,0.0000
1,25,"10/06/92",0029,5,0.170,0.0539
1,25,"10/06/92",0030,5,34.310,10.7139
1,25,"10/06/92",0066,5,0.480,0.0644
1,25,"10/06/92",0067,5,0.000,0.0000
1,25,"10/06/92",0075,5,0.000,0.0000
1,25,"10/06/92",0081,5,0.000,0.0000
1,25,"10/06/92",0082,5,0.000,0.0000
1,25,"10/06/92",0085,5,0.000,0.0000
1,25,"10/06/92",0089,5,0.480,0.0735
1,25,"10/06/92",0092,5,0.030,0.0122
1,25,"10/06/92",0152,5,0.000,0.0000
1,25,"10/06/92",0553,5,0.010,0.0100
1,25,"10/06/92",0556,5,0.110,0.1100
1,25,"10/06/92",0557,5,0.000,0.0000
1,25,"10/06/92",0558,5,0.000,0.0000
1,25,"10/06/92",0574,5,0.000,0.0000
1,25,"10/06/92",0575,5,0.200,0.2000
1,25,"10/06/92",0589,5,0.010,0.0100
1,27,"10/20/93",0024,5,0.000,0.0000
1,27,"10/20/93",0029,5,0.090,0.0557
1,27,"10/20/93",0030,5,38.550,11.6381
1,27,"10/20/93",0066,5,0.980,0.3311
1,27,"10/20/93",0067,5,0.000,0.0000
1,27,"10/20/93",0075,5,0.000,0.0000
1,27,"10/20/93",0081,5,0.000,0.0000
1,27,"10/20/93",0082,5,0.000,0.0000
1,27,"10/20/93",0085,5,0.020,0.0122
1,27,"10/20/93",0089,5,0.640,0.2176
1,27,"10/20/93",0092,5,0.010,0.0100
1,27,"10/20/93",0152,5,0.000,0.0000
1,27,"10/20/93",0553,5,2.750,2.6511
1,27,"10/20/93",0556,5,0.130,0.1300
1,27,"10/20/93",0557,5,0.000,0.0000
1,27,"10/20/93",0558,5,2.410,2.1342
1,27,"10/20/93",0574,5,0.010,0.0100
1,27,"10/20/93",0575,5,0.040,0.0400
1,27,"10/20/93",0589,5,0.030,0.0200
1,28,"04/15/94",0024,5,0.000,0.0000
1,28,"04/15/94",0029,5,0.220,0.0930
1,28,"04/15/94",0030,5,32.540,8.1609
1,28,"04/15/94",0066,5,1.590,0.2266
1,28,"04/15/94",0067,5,0.010,0.0100
1,28,"04/15/94",0075,5,0.000,0.0000
1,28,"04/15/94",0081,5,0.000,0.0000
1,28,"04/15/94",0082,5,0.000,0.0000
1,28,"04/15/94",0085,5,0.020,0.0122
1,28,"04/15/94",0089,5,0.900,0.1423
1,28,"04/15/94",0092,5,0.020,0.0122
1,28,"04/15/94",0152,5,0.000,0.0000
1,28,"04/15/94",0553,5,2.770,2.6226
1,28,"04/15/94",0556,5,0.030,0.0300
1,28,"04/15/94",0557,5,0.000,0.0000
1,28,"04/15/94",0558,5,0.030,0.0300
1,28,"04/15/94",0574,5,0.000,0.0000
1,28,"04/15/94",0575,5,0.110,0.1100
1,28,"04/15/94",0589,5,0.000,0.0000
1,29,"10/07/94",0024,5,0.020,0.0200
1,29,"10/07/94",0029,5,0.540,0.2363
1,29,"10/07/94",0030,5,35.910,5.3312
1,29,"10/07/94",0066,5,1.340,0.2277
1,29,"10/07/94",0067,5,0.000,0.0000
1,29,"10/07/94",0075,5,0.000,0.0000
1,29,"10/07/94",0081,5,0.000,0.0000
1,29,"10/07/94",0082,5,0.000,0.0000
1,29,"10/07/94",0085,5,0.010,0.0100
1,29,"10/07/94",0089,5,0.780,0.1960
1,29,"10/07/94",0092,5,0.050,0.0158
1,29,"10/07/94",0152,5,0.000,0.0000
1,29,"10/07/94",0553,5,2.110,1.8561
1,29,"10/07/94",0556,5,0.030,0.0300
1,29,"10/07/94",0557,5,0.000,0.0000
1,29,"10/07/94",0558,5,0.000,0.0000
1,29,"10/07/94",0574,5,0.000,0.0000
1,29,"10/07/94",0575,5,0.110,0.0980
1,29,"10/07/94",0589,5,0.000,0.0000
1,30,"04/11/95",0024,5,0.010,0.0100
1,30,"04/11/95",0029,5,0.360,0.0914
1,30,"04/11/95",0030,5,34.830,2.4356
1,30,"04/11/95",0066,5,1.890,0.2556
1,30,"04/11/95",0067,5,0.000,0.0000
1,30,"04/11/95",0075,5,0.000,0.0000
1,30,"04/11/95",0081,5,0.000,0.0000
1,30,"04/11/95",0082,5,0.000,0.0000
1,30,"04/11/95",0085,5,0.000,0.0000
1,30,"04/11/95",0089,5,0.940,0.1806
1,30,"04/11/95",0092,5,0.080,0.0800
1,30,"04/11/95",0152,5,0.000,0.0000
1,30,"04/11/95",0553,5,1.200,1.1381
1,30,"04/11/95",0556,5,0.000,0.0000
1,30,"04/11/95",0557,5,0.000,0.0000
1,30,"04/11/95",0558,5,0.000,0.0000
1,30,"04/11/95",0574,5,0.000,0.0000
1,30,"04/11/95",0575,5,0.040,0.0400
1,30,"04/11/95",0589,5,0.000,0.0000
1,31,"10/03/95",0024,5,0.000,0.0000
1,31,"10/03/95",0029,5,0.380,0.2956
1,31,"10/03/95",0030,5,26.790,3.9394
1,31,"10/03/95",0066,5,1.770,0.1290
1,31,"10/03/95",0067,5,0.000,0.0000
1,31,"10/03/95",0075,5,0.000,0.0000
1,31,"10/03/95",0081,5,0.000,0.0000
1,31,"10/03/95",0082,5,0.000,0.0000
1,31,"10/03/95",0085,5,0.020,0.0122
1,31,"10/03/95",0089,5,0.420,0.1056
1,31,"10/03/95",0092,5,0.100,0.0224
1,31,"10/03/95",0152,5,0.000,0.0000
1,31,"10/03/95",0553,5,0.590,0.5900
1,31,"10/03/95",0556,5,0.000,0.0000
1,31,"10/03/95",0557,5,0.000,0.0000
1,31,"10/03/95",0558,5,0.000,0.0000
1,31,"10/03/95",0574,5,0.000,0.0000
1,31,"10/03/95",0575,5,0.000,0.0000
1,31,"10/03/95",0589,5,0.000,0.0000
1,32,"04/25/96",0024,5,0.000,0.0000
1,32,"04/25/96",0029,5,0.240,0.0748
1,32,"04/25/96",0030,5,31.910,1.4484
1,32,"04/25/96",0066,5,3.630,0.5283
1,32,"04/25/96",0067,5,0.000,0.0000
1,32,"04/25/96",0075,5,0.000,0.0000
