"Station","Period","Date","Swath","KelpID","HoldFast","StipeCount"
1,3,"10/24/81","32L","1_5_513",16,"NA"
1,3,"10/24/81","32L","1_5_515",12,"NA"
1,3,"10/24/81","32L","1_5_517",9,"NA"
1,3,"10/24/81","32L","1_5_519",11,"NA"
1,3,"10/24/81","32L","1_5_532",14,"NA"
1,3,"10/24/81","32L","1_5_540",15,"NA"
1,3,"10/24/81","32L","1_5_544",15,"NA"
1,3,"10/24/81","39R","1_8_2",25,"NA"
1,3,"10/24/81","39R","1_8_498",10,"NA"
1,3,"10/24/81","39R","1_8_506",15,"NA"
1,3,"10/24/81","39R","1_8_507",19,"NA"
1,3,"10/24/81","39R","1_8_510",23,"NA"
1,3,"10/24/81","39R","1_8_511",18,"NA"
1,3,"10/24/81","39R","1_8_514",7,"NA"
1,3,"10/24/81","39R","1_8_516",16,"NA"
1,3,"10/24/81","39R","1_8_518",14,"NA"
1,3,"10/24/81","39R","1_8_520",23,"NA"
1,3,"10/24/81","39R","1_8_531",12,"NA"
1,3,"10/24/81","39R","1_8_533",28,"NA"
1,3,"10/24/81","39R","1_8_534",14,"NA"
1,3,"10/24/81","39R","1_8_536",12,"NA"
1,3,"10/24/81","39R","1_8_539",18,"NA"
1,3,"10/24/81","39R","1_8_546",17,"NA"
1,3,"10/24/81","39R","1_8_569",16,"NA"
1,3,"10/24/81","45R","1_10_535",18,"NA"
1,3,"10/24/81","45R","1_10_538",22,"NA"
1,3,"10/24/81","45R","1_10_541",30,"NA"
1,3,"10/24/81","45R","1_10_542",31,"NA"
1,3,"10/24/81","45R","1_10_543",24,"NA"
1,3,"10/24/81","45R","1_10_545",15,"NA"
1,3,"10/24/81","45R","1_10_547",17,"NA"
1,3,"10/24/81","45R","1_10_6",28,"NA"
1,3,"10/24/81","45R","1_10_9",39,"NA"
1,4,"04/29/82","10R","1_2_284",26,"NA"
1,4,"04/29/82","10R","1_2_285",19,"NA"
1,4,"04/29/82","10R","1_2_286",22,"NA"
1,4,"04/29/82","10R","1_2_502",11,"NA"
1,4,"04/29/82","22R","1_4_188",31,"NA"
1,4,"04/29/82","22R","1_4_287",38,"NA"
1,4,"04/29/82","22R","1_4_288",15,"NA"
1,4,"04/29/82","22R","1_4_294",17,"NA"
1,4,"04/29/82","22R","1_4_489",34,"NA"
1,4,"04/29/82","22R","1_4_495",49,"NA"
1,4,"04/29/82","22R","1_4_499",40,"NA"
1,4,"04/29/82","32L","1_5_267",10,"NA"
1,4,"04/29/82","32L","1_5_289",4,"NA"
1,4,"04/29/82","32L","1_5_290",5,"NA"
1,4,"04/29/82","32L","1_5_291",5,"NA"
1,4,"04/29/82","32L","1_5_451",34,"NA"
1,4,"04/29/82","32L","1_5_456",30,"NA"
1,4,"04/29/82","32L","1_5_480",20,"NA"
1,4,"04/29/82","32L","1_5_512",28,"NA"
1,4,"04/29/82","32L","1_5_513",30,"NA"
1,4,"04/29/82","32L","1_5_519",23,"NA"
1,4,"04/29/82","32L","1_5_532",29,"NA"
1,4,"04/29/82","32L","1_5_540",22,"NA"
1,4,"04/29/82","32L","1_5_544",25,"NA"
1,4,"04/29/82","39R","1_8_2",31,"NA"
1,4,"04/29/82","39R","1_8_469",21,"NA"
1,4,"04/29/82","39R","1_8_506",28,"NA"
1,4,"04/29/82","39R","1_8_510",28,"NA"
1,4,"04/29/82","39R","1_8_511",15,"NA"
1,4,"04/29/82","39R","1_8_516",16,"NA"
1,4,"04/29/82","39R","1_8_518",25,"NA"
1,4,"04/29/82","39R","1_8_520",27,"NA"
1,4,"04/29/82","39R","1_8_531",25,"NA"
1,4,"04/29/82","39R","1_8_534",17,"NA"
1,4,"04/29/82","39R","1_8_537",32,"NA"
1,4,"04/29/82","39R","1_8_613",11,"NA"
1,4,"04/29/82","39R","1_8_614",22,"NA"
1,4,"04/29/82","39R","1_8_615",24,"NA"
1,4,"04/29/82","39R","1_8_616",33,"NA"
1,4,"04/29/82","39R","1_8_617",27,"NA"
1,4,"04/29/82","39R","1_8_618",32,"NA"
1,4,"04/29/82","39R","1_8_619",32,"NA"
1,4,"04/29/82","39R","1_8_621",25,"NA"
1,4,"04/29/82","39R","1_8_622",23,"NA"
1,4,"04/29/82","45R","1_10_292",29,"NA"
1,4,"04/29/82","45R","1_10_293",32,"NA"
1,4,"04/29/82","45R","1_10_535",27,"NA"
1,4,"04/29/82","45R","1_10_543",29,"NA"
1,4,"04/29/82","45R","1_10_547",13,"NA"
1,4,"04/29/82","45R","1_10_595",17,"NA"
1,4,"04/29/82","45R","1_10_608",18,"NA"
1,4,"04/29/82","45R","1_10_609",33,"NA"
1,4,"04/29/82","45R","1_10_610",37,"NA"
1,4,"04/29/82","45R","1_10_611",27,"NA"
1,4,"04/29/82","45R","1_10_612",20,"NA"
1,5,"10/18/82","10R","1_2_284",50,"NA"
1,5,"10/18/82","10R","1_2_285",45,"NA"
1,5,"10/18/82","10R","1_2_502",35,"NA"
1,5,"10/18/82","22R","1_4_287",42,"NA"
1,5,"10/18/82","22R","1_4_288",22,"NA"
1,5,"10/18/82","22R","1_4_294",20,"NA"
1,5,"10/18/82","22R","1_4_489",40,"NA"
1,5,"10/18/82","22R","1_4_495",60,"NA"
1,5,"10/18/82","22R","1_4_499",55,"NA"
1,5,"10/18/82","22R","1_4_501",40,"NA"
1,5,"10/18/82","32L","1_5_451",36,"NA"
1,5,"10/18/82","32L","1_5_456",40,"NA"
1,5,"10/18/82","32L","1_5_480",21,"NA"
1,5,"10/18/82","32L","1_5_496",22,"NA"
1,5,"10/18/82","32L","1_5_507",29,"NA"
1,5,"10/18/82","32L","1_5_512",43,"NA"
1,5,"10/18/82","32L","1_5_513",42,"NA"
1,5,"10/18/82","32L","1_5_519",35,"NA"
1,5,"10/18/82","32L","1_5_532",40,"NA"
1,5,"10/18/82","32L","1_5_540",40,"NA"
1,5,"10/18/82","32L","1_5_544",30,"NA"
1,5,"10/18/82","39R","1_8_469",35,"NA"
1,5,"10/18/82","39R","1_8_506",33,"NA"
1,5,"10/18/82","39R","1_8_510",45,"NA"
1,5,"10/18/82","39R","1_8_511",20,"NA"
1,5,"10/18/82","39R","1_8_516",27,"NA"
1,5,"10/18/82","39R","1_8_518",43,"NA"
1,5,"10/18/82","39R","1_8_531",35,"NA"
1,5,"10/18/82","39R","1_8_537",41,"NA"
1,5,"10/18/82","39R","1_8_617",43,"NA"
1,5,"10/18/82","39R","1_8_618",29,"NA"
1,5,"10/18/82","39R","1_8_622",26,"NA"
1,5,"10/18/82","39R","1_8_729",23,"NA"
1,5,"10/18/82","39R","1_8_736",30,"NA"
1,5,"10/18/82","39R","1_8_737",38,"NA"
1,5,"10/18/82","39R","1_8_744",30,"NA"
1,5,"10/18/82","39R","1_8_746",35,"NA"
1,5,"10/18/82","39R","1_8_747",37,"NA"
1,5,"10/18/82","39R","1_8_749",35,"NA"
1,5,"10/18/82","45R","1_10_292",40,"NA"
1,5,"10/18/82","45R","1_10_293",40,"NA"
1,5,"10/18/82","45R","1_10_535",37,"NA"
1,5,"10/18/82","45R","1_10_543",32,"NA"
1,5,"10/18/82","45R","1_10_609",41,"NA"
1,5,"10/18/82","45R","1_10_610",44,"NA"
1,5,"10/18/82","45R","1_10_752",30,"NA"
1,6,"05/01/83","10R","1_2_284",45,"NA"
1,6,"05/01/83","10R","1_2_285",33,"NA"
1,6,"05/01/83","10R","1_2_286",38,"NA"
1,6,"05/01/83","10R","1_2_763",24,"NA"
1,6,"05/01/83","10R","1_2_817",27,"NA"
1,6,"05/01/83","22R","1_4_287",43,"NA"
1,6,"05/01/83","22R","1_4_489",34,"NA"
1,6,"05/01/83","22R","1_4_749",25,"NA"
1,6,"05/01/83","32L","1_5_540",39,"NA"
1,6,"05/01/83","39R","1_8_802",31,"NA"
1,7,"09/15/83","10R","NA",6,"NA"
1,7,"09/15/83","10R","1_2_817",45,"NA"
1,7,"09/15/83","22R","NA",10,"NA"
1,7,"09/15/83","22R","NA",2,"NA"
1,7,"09/15/83","22R","NA",2,"NA"
1,7,"09/15/83","22R","NA",2,"NA"
1,7,"09/15/83","22R","NA",13,"NA"
1,7,"09/15/83","22R","NA",20,"NA"
1,7,"09/15/83","22R","NA",20,"NA"
1,7,"09/15/83","22R","NA",10,"NA"
1,7,"09/15/83","22R","NA",2,"NA"
1,7,"09/15/83","22R","NA",7,"NA"
1,7,"09/15/83","22R","NA",6,"NA"
1,7,"09/15/83","22R","NA",4,"NA"
1,7,"09/15/83","22R","NA",7,"NA"
1,7,"09/15/83","22R","NA",4,"NA"
1,7,"09/15/83","22R","NA",3,"NA"
1,7,"09/15/83","22R","NA",5,"NA"
1,7,"09/15/83","22R","NA",6,"NA"
1,7,"09/15/83","22R","NA",4,"NA"
1,7,"09/15/83","22R","NA",8,"NA"
1,7,"09/15/83","22R","NA",6,"NA"
1,7,"09/15/83","22R","NA",6,"NA"
1,7,"09/15/83","22R","NA",7,"NA"
1,7,"09/15/83","22R","NA",5,"NA"
1,7,"09/15/83","22R","NA",14,"NA"
1,7,"09/15/83","22R","NA",7,"NA"
1,7,"09/15/83","22R","NA",7,"NA"
1,7,"09/15/83","22R","NA",5,"NA"
1,7,"09/15/83","22R","NA",7,"NA"
1,7,"09/15/83","22R","NA",6,"NA"
1,7,"09/15/83","22R","NA",5,"NA"
1,7,"09/15/83","32L","NA",9,"NA"
1,7,"09/15/83","32L","NA",8,"NA"
1,7,"09/15/83","32L","NA",8,"NA"
1,7,"09/15/83","32L","NA",6,"NA"
1,7,"09/15/83","32L","NA",4,"NA"
1,7,"09/15/83","32L","NA",4,"NA"
1,7,"09/15/83","32L","NA",4,"NA"
1,7,"09/15/83","32L","NA",6,"NA"
1,7,"09/15/83","32L","NA",10,"NA"
1,7,"09/15/83","32L","NA",5,"NA"
1,7,"09/15/83","32L","NA",8,"NA"
1,7,"09/15/83","32L","NA",8,"NA"
1,7,"09/15/83","32L","NA",13,"NA"
1,7,"09/15/83","32L","NA",7,"NA"
1,7,"09/15/83","32L","NA",7,"NA"
1,7,"09/15/83","32L","NA",4,"NA"
1,7,"09/15/83","32L","NA",3,"NA"
1,7,"09/15/83","32L","NA",6,"NA"
1,7,"09/15/83","32L","NA",9,"NA"
1,7,"09/15/83","32L","NA",5,"NA"
1,7,"09/15/83","32L","NA",9,"NA"
1,7,"09/15/83","32L","NA",5,"NA"
1,7,"09/15/83","32L","NA",3,"NA"
1,7,"09/15/83","32L","NA",12,"NA"
1,7,"09/15/83","32L","NA",3,"NA"
1,7,"09/15/83","32L","NA",11,"NA"
1,7,"09/15/83","32L","NA",5,"NA"
1,7,"09/15/83","32L","NA",8,"NA"
1,7,"09/15/83","32L","NA",4,"NA"
1,7,"09/15/83","32L","NA",4,"NA"
1,7,"09/15/83","32L","NA",6,"NA"
1,7,"09/15/83","32L","NA",7,"NA"
1,7,"09/15/83","32L","NA",11,"NA"
1,7,"09/15/83","32L","NA",6,"NA"
1,7,"09/15/83","32L","NA",6,"NA"
1,7,"09/15/83","32L","NA",10,"NA"
1,7,"09/15/83","32L","NA",10,"NA"
1,7,"09/15/83","32L","NA",11,"NA"
1,7,"09/15/83","32L","NA",15,"NA"
1,7,"09/15/83","39R","NA",14,"NA"
1,7,"09/15/83","39R","NA",3,"NA"
1,7,"09/15/83","39R","NA",4,"NA"
1,7,"09/15/83","39R","NA",6,"NA"
1,7,"09/15/83","39R","NA",11,"NA"
1,7,"09/15/83","39R","NA",9,"NA"
1,7,"09/15/83","39R","NA",7,"NA"
1,7,"09/15/83","39R","NA",6,"NA"
1,7,"09/15/83","39R","NA",6,"NA"
1,7,"09/15/83","39R","NA",8,"NA"
1,7,"09/15/83","39R","NA",4,"NA"
1,7,"09/15/83","39R","NA",15,"NA"
1,7,"09/15/83","39R","NA",9,"NA"
1,7,"09/15/83","39R","NA",6,"NA"
1,7,"09/15/83","39R","NA",6,"NA"
1,7,"09/15/83","39R","NA",5,"NA"
1,7,"09/15/83","39R","NA",10,"NA"
1,7,"09/15/83","39R","NA",12,"NA"
1,7,"09/15/83","39R","NA",7,"NA"
1,7,"09/15/83","39R","NA",11,"NA"
1,7,"09/15/83","39R","NA",4,"NA"
1,7,"09/15/83","39R","NA",3,"NA"
1,7,"09/15/83","39R","NA",5,"NA"
1,7,"09/15/83","39R","NA",10,"NA"
1,7,"09/15/83","39R","NA",11,"NA"
1,7,"09/15/83","39R","NA",8,"NA"
1,7,"09/15/83","39R","NA",6,"NA"
1,7,"09/15/83","39R","NA",5,"NA"
1,7,"09/15/83","39R","NA",4,"NA"
1,7,"09/15/83","39R","NA",3,"NA"
1,7,"09/15/83","39R","NA",12,"NA"
1,7,"09/15/83","39R","NA",13,"NA"
1,7,"09/15/83","39R","NA",13,"NA"
1,7,"09/15/83","39R","NA",6,"NA"
1,7,"09/15/83","39R","NA",14,"NA"
1,7,"09/15/83","39R","NA",5,"NA"
1,7,"09/15/83","39R","NA",8,"NA"
1,7,"09/15/83","39R","NA",5,"NA"
1,7,"09/15/83","39R","NA",15,"NA"
1,7,"09/15/83","39R","NA",10,"NA"
1,7,"09/15/83","39R","NA",15,"NA"
1,7,"09/15/83","39R","NA",32,"NA"
1,7,"09/15/83","45R","NA",6,"NA"
1,7,"09/15/83","45R","NA",11,"NA"
1,7,"09/15/83","45R","NA",9,"NA"
1,7,"09/15/83","45R","NA",10,"NA"
1,7,"09/15/83","45R","NA",10,"NA"
1,7,"09/15/83","45R","NA",8,"NA"
1,7,"09/15/83","45R","NA",5,"NA"
1,7,"09/15/83","45R","NA",9,"NA"
1,7,"09/15/83","45R","NA",8,"NA"
1,7,"09/15/83","45R","NA",5,"NA"
1,7,"09/15/83","45R","NA",9,"NA"
1,7,"09/15/83","45R","NA",12,"NA"
1,7,"09/15/83","45R","NA",10,"NA"
1,7,"09/15/83","45R","NA",4,"NA"
1,7,"09/15/83","45R","NA",2,"NA"
1,7,"09/15/83","45R","NA",3,"NA"
1,7,"09/15/83","45R","NA",3,"NA"
1,7,"09/15/83","45R","NA",9,"NA"
1,7,"09/15/83","45R","NA",6,"NA"
1,7,"09/15/83","45R","NA",6,"NA"
1,7,"09/15/83","45R","NA",6,"NA"
1,7,"09/15/83","45R","NA",9,"NA"
1,7,"09/15/83","45R","NA",3,"NA"
1,7,"09/15/83","45R","NA",5,"NA"
1,7,"09/15/83","45R","NA",7,"NA"
1,7,"09/15/83","45R","NA",9,"NA"
1,7,"09/15/83","45R","NA",4,"NA"
1,7,"09/15/83","45R","NA",8,"NA"
1,7,"09/15/83","45R","NA",11,"NA"
1,7,"09/15/83","45R","NA",4,"NA"
1,7,"09/15/83","45R","NA",13,"NA"
1,7,"09/15/83","45R","NA",3,"NA"
1,7,"09/15/83","45R","NA",7,"NA"
1,7,"09/15/83","45R","NA",3,"NA"
1,7,"09/15/83","45R","NA",4,"NA"
1,7,"09/15/83","45R","NA",5,"NA"
1,7,"09/15/83","45R","NA",3,"NA"
1,7,"09/15/83","45R","NA",3,"NA"
1,7,"09/15/83","45R","NA",8,"NA"
1,7,"09/15/83","45R","NA",8,"NA"
1,8,"02/19/84","10R","NA",10,"NA"
1,8,"02/19/84","22R","NA",20,"NA"
1,8,"02/19/84","22R","NA",4,"NA"
1,8,"02/19/84","22R","NA",11,"NA"
1,8,"02/19/84","22R","NA",16,"NA"
1,8,"02/19/84","22R","NA",9,"NA"
1,8,"02/19/84","22R","NA",4,"NA"
1,8,"02/19/84","22R","NA",7,"NA"
1,8,"02/19/84","22R","NA",9,"NA"
1,8,"02/19/84","22R","NA",6,"NA"
1,8,"02/19/84","22R","NA",7,"NA"
1,8,"02/19/84","22R","NA",10,"NA"
1,8,"02/19/84","22R","NA",23,"NA"
1,8,"02/19/84","22R","NA",19,"NA"
1,8,"02/19/84","22R","NA",3,"NA"
1,8,"02/19/84","22R","NA",6,"NA"
1,8,"02/19/84","22R","NA",5,"NA"
1,8,"02/19/84","22R","NA",14,"NA"
1,8,"02/19/84","22R","NA",13,"NA"
1,8,"02/19/84","22R","NA",15,"NA"
1,8,"02/19/84","22R","NA",18,"NA"
1,8,"02/19/84","22R","NA",14,"NA"
1,8,"02/19/84","22R","NA",9,"NA"
1,8,"02/19/84","22R","NA",12,"NA"
1,8,"02/19/84","22R","NA",8,"NA"
1,8,"02/19/84","22R","NA",10,"NA"
1,8,"02/19/84","22R","NA",4,"NA"
1,8,"02/19/84","22R","NA",4,"NA"
1,8,"02/19/84","22R","NA",2,"NA"
1,8,"02/19/84","22R","NA",3,"NA"
1,8,"02/19/84","22R","NA",1,"NA"
1,8,"02/19/84","22R","NA",16,"NA"
1,8,"02/19/84","22R","NA",10,"NA"
1,8,"02/19/84","22R","NA",12,"NA"
1,8,"02/19/84","22R","NA",8,"NA"
1,8,"02/19/84","22R","NA",7,"NA"
1,8,"02/19/84","22R","NA",4,"NA"
1,8,"02/19/84","22R","NA",7,"NA"
1,8,"02/19/84","22R","NA",8,"NA"
1,8,"02/19/84","32L","NA",18,"NA"
1,8,"02/19/84","32L","NA",15,"NA"
1,8,"02/19/84","32L","NA",9,"NA"
1,8,"02/19/84","32L","NA",14,"NA"
1,8,"02/19/84","32L","NA",12,"NA"
1,8,"02/19/84","32L","NA",18,"NA"
1,8,"02/19/84","32L","NA",14,"NA"
1,8,"02/19/84","32L","NA",10,"NA"
1,8,"02/19/84","32L","NA",7,"NA"
1,8,"02/19/84","32L","NA",3,"NA"
1,8,"02/19/84","32L","NA",19,"NA"
1,8,"02/19/84","32L","NA",16,"NA"
1,8,"02/19/84","32L","NA",8,"NA"
1,8,"02/19/84","32L","NA",9,"NA"
1,8,"02/19/84","32L","NA",8,"NA"
1,8,"02/19/84","32L","NA",14,"NA"
1,8,"02/19/84","32L","NA",6,"NA"
1,8,"02/19/84","32L","NA",11,"NA"
1,8,"02/19/84","32L","NA",16,"NA"
1,8,"02/19/84","32L","NA",12,"NA"
1,8,"02/19/84","32L","NA",10,"NA"
1,8,"02/19/84","32L","NA",12,"NA"
1,8,"02/19/84","32L","NA",15,"NA"
1,8,"02/19/84","32L","NA",3,"NA"
1,8,"02/19/84","32L","NA",5,"NA"
1,8,"02/19/84","32L","NA",7,"NA"
1,8,"02/19/84","32L","NA",14,"NA"
1,8,"02/19/84","32L","NA",13,"NA"
1,8,"02/19/84","32L","NA",22,"NA"
1,8,"02/19/84","32L","NA",11,"NA"
1,8,"02/19/84","32L","NA",3,"NA"
1,8,"02/19/84","32L","NA",12,"NA"
1,8,"02/19/84","32L","NA",10,"NA"
1,8,"02/19/84","32L","NA",7,"NA"
1,8,"02/19/84","32L","NA",12,"NA"
1,8,"02/19/84","32L","NA",12,"NA"
1,8,"02/19/84","39R","NA",12,"NA"
1,8,"02/19/84","39R","NA",6,"NA"
1,8,"02/19/84","39R","NA",12,"NA"
1,8,"02/19/84","39R","NA",12,"NA"
1,8,"02/19/84","39R","NA",17,"NA"
1,8,"02/19/84","39R","NA",18,"NA"
1,8,"02/19/84","39R","NA",9,"NA"
1,8,"02/19/84","39R","NA",20,"NA"
1,8,"02/19/84","39R","NA",14,"NA"
1,8,"02/19/84","39R","NA",5,"NA"
1,8,"02/19/84","39R","NA",7,"NA"
1,8,"02/19/84","39R","NA",17,"NA"
1,8,"02/19/84","39R","NA",12,"NA"
1,8,"02/19/84","39R","NA",10,"NA"
1,8,"02/19/84","39R","NA",19,"NA"
1,8,"02/19/84","39R","NA",8,"NA"
1,8,"02/19/84","39R","NA",13,"NA"
1,8,"02/19/84","39R","NA",9,"NA"
1,8,"02/19/84","39R","NA",7,"NA"
1,8,"02/19/84","39R","NA",12,"NA"
1,8,"02/19/84","39R","NA",11,"NA"
1,8,"02/19/84","39R","NA",12,"NA"
1,8,"02/19/84","39R","NA",12,"NA"
1,8,"02/19/84","39R","NA",13,"NA"
1,8,"02/19/84","39R","NA",15,"NA"
1,8,"02/19/84","39R","NA",15,"NA"
1,8,"02/19/84","39R","NA",11,"NA"
1,8,"02/19/84","39R","NA",20,"NA"
1,8,"02/19/84","39R","NA",16,"NA"
1,8,"02/19/84","39R","NA",5,"NA"
1,8,"02/19/84","39R","NA",19,"NA"
1,8,"02/19/84","39R","NA",5,"NA"
1,8,"02/19/84","39R","NA",5,"NA"
1,8,"02/19/84","39R","NA",24,"NA"
1,8,"02/19/84","39R","NA",15,"NA"
1,8,"02/19/84","45R","NA",17,"NA"
1,8,"02/19/84","45R","NA",12,"NA"
1,8,"02/19/84","45R","NA",15,"NA"
1,8,"02/19/84","45R","NA",12,"NA"
1,8,"02/19/84","45R","NA",5,"NA"
1,8,"02/19/84","45R","NA",8,"NA"
1,8,"02/19/84","45R","NA",14,"NA"
1,8,"02/19/84","45R","NA",9,"NA"
1,8,"02/19/84","45R","NA",24,"NA"
1,8,"02/19/84","45R","NA",6,"NA"
1,8,"02/19/84","45R","NA",6,"NA"
1,8,"02/19/84","45R","NA",15,"NA"
1,8,"02/19/84","45R","NA",19,"NA"
1,8,"02/19/84","45R","NA",5,"NA"
1,8,"02/19/84","45R","NA",18,"NA"
1,8,"02/19/84","45R","NA",22,"NA"
1,8,"02/19/84","45R","NA",18,"NA"
1,8,"02/19/84","45R","NA",15,"NA"
1,8,"02/19/84","45R","NA",7,"NA"
1,8,"02/19/84","45R","NA",10,"NA"
1,8,"02/19/84","45R","NA",7,"NA"
1,8,"02/19/84","45R","NA",11,"NA"
1,8,"02/19/84","45R","NA",8,"NA"
1,8,"02/19/84","45R","NA",14,"NA"
1,8,"02/19/84","45R","NA",15,"NA"
1,8,"02/19/84","45R","NA",15,"NA"
1,8,"02/19/84","45R","NA",6,"NA"
1,8,"02/19/84","45R","NA",17,"NA"
1,8,"02/19/84","45R","NA",7,"NA"
1,8,"02/19/84","45R","NA",21,"NA"
1,8,"02/19/84","45R","NA",15,"NA"
1,8,"02/19/84","45R","NA",13,"NA"
1,9,"10/03/84","10R","NA",28,"NA"
1,9,"10/03/84","10R","NA",37,"NA"
1,9,"10/03/84","22R","NA",19,"NA"
1,9,"10/03/84","22R","NA",33,"NA"
1,9,"10/03/84","22R","NA",32,"NA"
1,9,"10/03/84","22R","NA",30,"NA"
1,9,"10/03/84","22R","NA",24,"NA"
1,9,"10/03/84","22R","NA",34,"NA"
1,9,"10/03/84","22R","NA",20,"NA"
1,9,"10/03/84","22R","NA",35,"NA"
1,9,"10/03/84","22R","NA",20,"NA"
1,9,"10/03/84","22R","NA",24,"NA"
1,9,"10/03/84","22R","NA",29,"NA"
1,9,"10/03/84","32L","NA",38,"NA"
1,9,"10/03/84","32L","NA",34,"NA"
1,9,"10/03/84","32L","NA",37,"NA"
1,9,"10/03/84","32L","NA",45,"NA"
1,9,"10/03/84","32L","NA",44,"NA"
1,9,"10/03/84","32L","NA",30,"NA"
1,9,"10/03/84","32L","NA",39,"NA"
1,9,"10/03/84","32L","NA",33,"NA"
1,9,"10/03/84","32L","NA",21,"NA"
1,9,"10/03/84","32L","NA",29,"NA"
1,9,"10/03/84","32L","NA",33,"NA"
1,9,"10/03/84","32L","NA",34,"NA"
1,9,"10/03/84","39R","NA",45,"NA"
1,9,"10/03/84","39R","NA",41,"NA"
1,9,"10/03/84","39R","NA",47,"NA"
1,9,"10/03/84","39R","NA",38,"NA"
1,9,"10/03/84","39R","NA",30,"NA"
1,9,"10/03/84","39R","NA",35,"NA"
1,9,"10/03/84","39R","NA",18,"NA"
1,9,"10/03/84","39R","NA",24,"NA"
1,9,"10/03/84","39R","NA",41,"NA"
1,9,"10/03/84","39R","NA",33,"NA"
1,9,"10/03/84","39R","NA",34,"NA"
1,9,"10/03/84","39R","NA",35,"NA"
1,9,"10/03/84","39R","NA",32,"NA"
1,9,"10/03/84","39R","NA",32,"NA"
1,9,"10/03/84","39R","NA",35,"NA"
1,9,"10/03/84","45R","NA",27,"NA"
1,9,"10/03/84","45R","NA",43,"NA"
1,9,"10/03/84","45R","NA",40,"NA"
1,9,"10/03/84","45R","NA",35,"NA"
1,9,"10/03/84","45R","NA",43,"NA"
1,9,"10/03/84","45R","NA",33,"NA"
1,9,"10/03/84","45R","NA",46,"NA"
1,10,"04/24/85","22R","NA",16,"NA"
1,10,"04/24/85","22R","1_4_820",38,"NA"
1,10,"04/24/85","22R","1_4_821",22,"NA"
1,10,"04/24/85","22R","1_4_822",27,"NA"
1,10,"04/24/85","22R","1_4_825",36,"NA"
1,10,"04/24/85","22R","1_4_848",34,"NA"
1,10,"04/24/85","32L","1_5_802",33,"NA"
1,10,"04/24/85","32L","1_5_827",39,"NA"
1,10,"04/24/85","32L","1_5_828",39,"NA"
1,10,"04/24/85","32L","1_5_845",40,"NA"
1,10,"04/24/85","32L","1_5_846",40,"NA"
1,10,"04/24/85","39R","NA",30,"NA"
1,10,"04/24/85","39R","NA",40,"NA"
1,10,"04/24/85","39R","NA",35,"NA"
1,10,"04/24/85","39R","NA",38,"NA"
1,10,"04/24/85","39R","NA",43,"NA"
1,10,"04/24/85","39R","NA",42,"NA"
1,10,"04/24/85","39R","1_8_823",44,"NA"
1,10,"04/24/85","39R","1_8_840",30,"NA"
1,10,"04/24/85","39R","1_8_841",40,"NA"
